,AIR.PA,SAF.PA,SU.PA,SIE.DE,ENR.DE,ABBN.SW,ALO.PA,MT.AS,RNO.PA,VOW3.DE,PRY.MI,SAND.ST
2025-03-06,166.1846,252.9721,216.4158,237.9415,58.2317,47.2827,26.0200,31.3616,43.3063,96.4795,54.6150,224.7572
2025-03-07,162.8237,245.2470,216.5609,229.4226,55.4237,47.5823,24.2600,29.7141,42.1984,95.1163,52.8797,223.5139
2025-03-10,156.6395,233.1216,211.9182,223.6454,50.3453,46.5868,23.1800,28.3005,41.8350,96.8753,51.3783,221.6967
2025-03-11,156.5243,233.3172,215.4486,218.5536,52.8546,47.2151,22.9000,27.9886,42.3048,95.8199,51.8658,217.1059
2025-03-12,157.5806,244.9537,220.3331,222.1276,57.5944,47.7177,23.1300,27.6084,42.8632,96.6994,54.8880,219.6882
2025-03-13,155.7753,239.6732,217.7216,221.7849,57.6940,46.5675,23.3500,27.8716,42.4111,94.7206,54.0301,218.3493
2025-03-14,162.4780,245.1492,220.5265,226.9256,59.0084,47.2634,23.8800,28.8659,42.8366,94.6766,55.4145,223.3226
2025-03-17,164.4369,247.2027,223.2831,229.4226,60.6016,47.6790,24.2700,28.6515,42.7391,95.2483,55.9604,224.2790
2025-03-18,164.9555,247.2027,227.1036,232.0663,60.5817,47.9206,25.4500,29.1097,43.3506,96.1717,57.9883,223.8965
2025-03-19,164.4946,252.2876,233.6324,231.7726,62.6927,49.2738,25.1300,29.6069,43.5634,94.3248,58.1442,222.3662
2025-03-20,160.7111,246.9094,229.2315,229.5694,61.0795,49.1191,23.7700,28.7587,42.7213,90.4111,56.5454,222.6531
2025-03-21,160.0197,244.8559,224.1536,224.0860,61.5575,48.3169,23.5200,28.3883,41.7907,89.2238,56.3114,218.1580
2025-03-24,160.5766,245.4426,224.3954,220.6589,60.3228,48.3266,22.1100,28.7587,43.6254,89.1798,56.0579,219.4970
2025-03-25,165.4740,248.2784,226.3298,224.1350,59.3867,47.9496,21.9700,28.7392,44.2458,90.0593,55.3365,222.0793
2025-03-26,163.7647,245.2470,220.9134,219.8266,60.4223,47.1087,21.2500,28.1933,43.4304,88.6521,51.9048,217.4885
2025-03-27,161.9978,242.9002,217.9150,216.9380,57.4351,46.6448,21.5900,27.0429,43.6697,87.3329,52.7042,214.0454
2025-03-28,159.6548,240.2599,210.0322,211.5035,55.0652,45.3883,20.8500,26.1461,42.1009,85.2749,51.5733,208.6895
2025-03-31,156.3130,236.6419,203.8419,207.4888,53.6114,44.5606,20.3800,25.8049,41.2589,82.2847,49.0970,200.8469
2025-04-01,161.3833,239.6732,208.8231,210.2795,55.6029,45.1912,19.9950,26.2728,41.7109,83.1641,49.4285,201.5164
2025-04-02,156.2746,238.9887,207.9526,210.2795,56.1804,45.0631,19.9450,25.9608,42.0389,82.8123,49.3700,198.8384
2025-04-03,151.7422,228.0367,196.3460,193.3690,53.0338,42.2547,19.7550,24.2256,40.3637,79.1537,46.2697,185.8790
2025-04-04,141.0639,213.4666,183.2885,181.7559,49.2898,40.4514,18.3300,22.1783,39.2203,76.9550,42.1263,177.3669
2025-04-07,131.3652,196.8430,180.4449,172.9237,48.3538,38.8353,17.1850,21.5349,37.6161,75.1784,40.0887,168.3288
2025-04-08,134.6685,206.7194,186.0354,178.9359,51.0025,40.4514,17.8850,22.0516,37.2349,75.5654,40.7712,170.1938
2025-04-09,128.1771,196.0607,181.2767,173.4720,50.4847,38.5692,17.3650,21.3497,36.8715,73.7361,39.6305,166.1769
2025-04-10,133.9195,207.3061,190.2718,183.0484,52.7550,40.5795,18.2100,22.2271,37.6604,74.9498,42.6040,176.8887
2025-04-11,129.5022,200.1677,190.5426,176.9188,53.5118,39.6828,18.4900,22.4708,37.8820,75.0729,42.1848,174.7368
2025-04-14,133.7274,206.1327,195.8624,181.8343,56.6186,40.7667,19.3300,23.1142,38.7771,76.8318,43.6277,178.9450
2025-04-15,135.3407,210.7286,201.8591,181.4426,58.0325,41.1609,19.8700,23.2604,39.4951,78.5380,44.5831,181.0491
2025-04-16,134.9182,209.7507,199.1026,182.2651,57.4749,40.9934,19.8050,23.4164,38.8746,78.1335,43.5887,181.6230
2025-04-17,131.0387,207.5017,198.5706,183.1268,63.5291,41.5846,19.3900,23.2214,38.9012,78.7491,43.7837,178.1799
2025-04-22,130.6459,209.6530,193.0574,185.3789,63.5490,40.6977,19.7300,23.5724,39.4862,81.2645,42.3345,183.4880
2025-04-23,136.3211,214.5423,202.1009,192.4094,65.0028,41.5550,20.1000,24.8300,39.8408,83.5863,44.6274,189.0830
2025-04-24,134.7697,216.0090,206.0182,196.4730,66.2774,41.6930,20.3500,24.9080,41.5868,84.8703,46.1858,191.0915
2025-04-25,138.0491,225.0054,210.7092,202.4950,67.6316,42.6193,20.7300,25.3077,41.4716,85.9785,47.7144,194.5346
2025-04-28,141.7017,226.1788,209.9838,200.7815,67.9502,42.7573,20.7500,25.6586,41.2234,86.5590,47.6945,195.0128
2025-04-29,141.3678,225.2987,196.5878,198.0397,69.4638,41.9197,20.7300,25.6976,41.9325,86.0313,47.1287,193.5781
2025-04-30,144.4705,227.8411,197.5066,197.7460,67.2532,42.5602,21.2200,25.2687,41.3298,83.9381,47.5853,196.9743
2025-05-02,152.1486,237.9131,208.7264,205.4326,72.2917,44.5310,21.3100,26.3995,41.9945,84.8879,50.5830,201.2071
2025-05-05,155.4084,238.0109,205.5829,206.8524,73.0286,44.7281,21.5300,26.2338,42.0655,85.0111,50.2256,199.8289
2025-05-06,153.7981,238.4020,205.4862,204.6003,72.6104,44.0383,21.6800,25.9218,42.6947,84.4482,50.2852,197.8602
2025-05-07,151.7755,237.3264,204.4706,204.7961,70.6786,43.6737,21.3500,25.8243,42.1275,84.0964,50.1661,199.4352
